"(Today, which ONE of the following do you think is the world's leading economic power?)...Do you think this is a good thing or a bad thing? [1284]",,,,,,,,,,,,,,,,
Country,Survey,Good,Bad,Neither (VOL),United States,The United States,China,Japan,The countries of the European Union,Other (VOL),Other (DO NOT READ),None / There is no leading economic power (VOL),None/There is no leading economic power (DO NOT READ),DK/Refused,,
Argentina,,,,,,,,,,,,,,,,
,Spring 2019,0,0,0,0,37,33,13,8,0,0,0,0,8,,
,,,,,,,,,,,,,,,,
Australia,,,,,,,,,,,,,,,,
,Spring 2019,0,0,0,0,32,51,6,6,0,1,0,1,3,,
,Spring 2016,0,0,0,32,0,52,5,5,1,0,1,0,4,,
,,,,,,,,,,,,,,,,
Brazil,,,,,,,,,,,,,,,,
,Spring 2019,0,0,0,0,38,21,18,5,0,0,0,1,17,,
,Spring 2011,61,34,2,0,0,0,0,0,0,0,0,0,0,,
,,,,,,,,,,,,,,,,
Britain,,,,,,,,,,,,,,,,
,Spring 2019,0,0,0,0,41,42,4,10,0,0,0,1,2,,
,Spring 2016,0,0,0,43,0,35,6,9,1,0,0,0,5,,
,Spring 2011,41,42,10,0,0,0,0,0,0,0,0,0,0,,
,,,,,,,,,,,,,,,,
Bulgaria,,,,,,,,,,,,,,,,
,Spring 2019,0,0,0,0,30,34,5,9,0,3,0,5,14,,
,,,,,,,,,,,,,,,,
Canada,,,,,,,,,,,,,,,,
,Spring 2019,0,0,0,0,37,48,6,6,0,1,0,0,2,,
,Spring 2016,0,0,0,40,0,42,4,7,1,0,1,0,6,,
,,,,,,,,,,,,,,,,
China,,,,,,,,,,,,,,,,
,Spring 2016,0,0,0,45,0,29,3,10,1,0,4,0,8,,
,,,,,,,,,,,,,,,,
China (Non-national sample),,,,,,,,,,,,,,,,
,Spring 2011,29,41,18,0,0,0,0,0,0,0,0,0,0,,
,,,,,,,,,,,,,,,,
Czech Rep.,,,,,,,,,,,,,,,,
,Spring 2019,0,0,0,0,29,41,7,7,0,3,0,5,9,,
,,,,,,,,,,,,,,,,
France,,,,,,,,,,,,,,,,
,Spring 2019,0,0,0,0,36,48,5,8,0,0,0,0,3,,
,Spring 2016,0,0,0,41,0,44,8,5,0,0,0,0,2,,
,Spring 2011,64,35,0,0,0,0,0,0,0,0,0,0,0,,
,,,,,,,,,,,,,,,,
Germany,,,,,,,,,,,,,,,,
,Spring 2019,0,0,0,0,24,53,6,14,0,0,0,1,3,,
,Spring 2016,0,0,0,34,0,30,5,25,1,0,0,0,5,,
,Spring 2011,46,43,6,0,0,0,0,0,0,0,0,0,0,,
,,,,,,,,,,,,,,,,
Greece,,,,,,,,,,,,,,,,
,Spring 2019,0,0,0,0,45,40,6,4,0,1,0,1,3,,
,Spring 2016,0,0,0,44,0,39,4,3,6,0,3,0,1,,
,,,,,,,,,,,,,,,,
Hungary,,,,,,,,,,,,,,,,
,Spring 2019,0,0,0,0,40,35,4,6,0,1,0,2,11,,
,Spring 2016,0,0,0,59,0,18,5,7,0,0,5,0,4,,
,,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,,
,Spring 2019,0,0,0,0,58,10,10,2,0,1,0,0,20,,
,Spring 2016,0,0,0,51,0,13,4,2,3,0,1,0,25,,
,,,,,,,,,,,,,,,,
India-Oldnat,,,,,,,,,,,,,,,,
,Spring 2011,61,28,5,0,0,0,0,0,0,0,0,0,0,,
,,,,,,,,,,,,,,,,
Indonesia,,,,,,,,,,,,,,,,
,Spring 2019,0,0,0,0,21,24,22,9,0,0,0,1,22,,
,Spring 2011,59,27,9,0,0,0,0,0,0,0,0,0,0,,
,,,,,,,,,,,,,,,,
Israel,,,,,,,,,,,,,,,,
,Spring 2019,0,0,0,0,60,27,4,3,0,0,0,4,1,,
,Spring 2011,73,10,12,0,0,0,0,0,0,0,0,0,0,,
,,,,,,,,,,,,,,,,
Italy,,,,,,,,,,,,,,,,
,Spring 2019,0,0,0,0,43,38,7,3,0,1,0,4,3,,
,Spring 2016,0,0,0,43,0,32,9,5,0,0,5,0,5,,
,,,,,,,,,,,,,,,,
Japan,,,,,,,,,,,,,,,,
,Spring 2019,0,0,0,0,59,25,6,5,0,0,0,0,4,,
,Spring 2016,0,0,0,61,0,24,6,6,0,0,1,0,3,,
,Spring 2011,68,19,11,0,0,0,0,0,0,0,0,0,0,,
,,,,,,,,,,,,,,,,
Jordan,,,,,,,,,,,,,,,,
,Spring 2011,39,39,21,0,0,0,0,0,0,0,0,0,0,,
,,,,,,,,,,,,,,,,
Kenya,,,,,,,,,,,,,,,,
,Spring 2019,0,0,0,0,39,32,7,13,0,0,0,0,9,,
,Spring 2011,84,10,6,0,0,0,0,0,0,0,0,0,0,,
,,,,,,,,,,,,,,,,
Lebanon,,,,,,,,,,,,,,,,
,Spring 2019,0,0,0,0,33,33,13,9,0,2,0,4,6,,
,Spring 2011,52,30,15,0,0,0,0,0,0,0,0,0,0,,
,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,
,Spring 2019,0,0,0,0,42,19,10,15,0,2,0,2,10,,
,Spring 2011,56,5,35,0,0,0,0,0,0,0,0,0,0,,
,,,,,,,,,,,,,,,,
Mexico,,,,,,,,,,,,,,,,
,Spring 2019,0,0,0,0,36,31,12,12,0,0,0,0,9,,
,Spring 2011,53,34,4,0,0,0,0,0,0,0,0,0,0,,
,,,,,,,,,,,,,,,,
Netherlands,,,,,,,,,,,,,,,,
,Spring 2019,0,0,0,0,32,49,3,15,0,0,0,0,1,,
,Spring 2016,0,0,0,41,0,36,3,12,1,0,1,0,5,,
,,,,,,,,,,,,,,,,
Nigeria,,,,,,,,,,,,,,,,
,Spring 2019,0,0,0,0,38,36,6,6,0,0,0,1,12,,
,,,,,,,,,,,,,,,,
Pakistan,,,,,,,,,,,,,,,,
